county,precinct,office,district,party,candidate,votes
Johnson,Park 3-09,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,50
Johnson,Park 3-10,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,254
Johnson,Park 3-10,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,18
Johnson,Park 3-11,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,317
Johnson,Park 3-11,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,49
Johnson,Park 3-12,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,348
Johnson,Park 3-12,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,30
Johnson,Park 3-13,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,595
Johnson,Park 3-13,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,67
Johnson,Park 3-14,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,500
Johnson,Park 3-14,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,47
Johnson,Park 3-15,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,240
Johnson,Park 3-15,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,27
Johnson,Park 3-16,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,356
Johnson,Park 3-16,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,32
Johnson,Park 3-17,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,242
Johnson,Park 3-17,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,21
Johnson,Park 3-18,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,351
Johnson,Park 3-18,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,41
Johnson,Park 3-19,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,383
Johnson,Park 3-19,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,48
Johnson,Park 3-20,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,442
Johnson,Park 3-20,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,37
Johnson,Park 3-21,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,316
Johnson,Park 3-21,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,33
Johnson,Park 3-22,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,229
Johnson,Park 3-22,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,31
Johnson,Park 4-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,302
Johnson,Park 4-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,31
Johnson,Park 4-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,449
Johnson,Park 4-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,61
Johnson,Park 4-03,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,442
Johnson,Park 4-03,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,46
Johnson,Park 4-04,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,507
Johnson,Park 4-04,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,47
Johnson,Park 4-05,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,412
